cod_ibge;municipio;ano;pop_urb;pop_rur;pop_tot;grau_urb
3548807;São Caetano do Sul;2040;142214;0;142214;100
3548906;São Carlos;2040;244620;10206;254826;95,99
3549003;São Francisco;2040;2154;293;2447;88,03
3549102;São João da Boa Vista;2040;84430;1602;86032;98,14
3549201;São João das Duas Pontes;2040;1771;490;2261;78,33
3549250;São João de Iracema;2040;1750;76;1826;95,84
3549300;São João do Pau d'Alho;2040;1609;123;1732;92,9
3549409;São Joaquim da Barra;2040;52166;933;53099;98,24
3549508;São José da Bela Vista;2040;8685;533;9218;94,22
3549607;São José do Barreiro;2040;3685;412;4097;89,94
3549706;São José do Rio Pardo;2040;50495;2123;52618;95,97
3549805;São José do Rio Preto;2040;436192;28172;464364;93,93
3549904;São José dos Campos;2040;770840;16007;786847;97,97
3549953;São Lourenço da Serra;2040;16861;743;17604;95,78
3550001;São Luís do Paraitinga;2040;6497;4157;10654;60,98
3550100;São Manuel;2040;40033;419;40452;98,96
3550209;São Miguel Arcanjo;2040;29985;3936;33921;88,4
3550308;São Paulo;2040;12243639;111058;12354697;99,1
3550407;São Pedro;2040;33209;3125;36334;91,4
3550506;São Pedro do Turvo;2040;6498;1009;7507;86,56
3550605;São Roque;2040;92461;1098;93559;98,83
3550704;São Sebastião;2040;101692;1159;102851;98,87
3550803;São Sebastião da Grama;2040;9229;2324;11553;79,88
3550902;São Simão;2040;14429;691;15120;95,43
3551009;São Vicente;2040;386035;731;386766;99,81
3551108;Sarapuí;2040;10346;1190;11536;89,68
3551207;Sarutaiá;2040;3423;274;3697;92,59
3551306;Sebastianópolis do Sul;2040;3017;267;3284;91,87
3551405;Serra Azul;2040;9740;3935;13675;71,22
3551504;Serrana;2040;50189;161;50350;99,68
3551603;Serra Negra;2040;23730;3321;27051;87,72
3551702;Sertãozinho;2040;130296;382;130678;99,71
3551801;Sete Barras;2040;11250;1822;13072;86,06
3551900;Severínia;2040;18328;579;18907;96,94
3552007;Silveiras;2040;4127;2549;6676;61,82
3552106;Socorro;2040;30348;8604;38952;77,91
3552205;Sorocaba;2040;708168;7281;715449;98,98
3552304;Sud Mennucci;2040;6766;1051;7817;86,55
3552403;Sumaré;2040;325742;3881;329623;98,82
3552502;Suzano;2040;316123;11534;327657;96,48
3552551;Suzanópolis;2040;3028;1508;4536;66,75
3552601;Tabapuã;2040;11121;719;11840;93,93
3552700;Tabatinga;2040;16181;870;17051;94,9
3552809;Taboão da Serra;2040;335902;0;335902;100
